exportIndex,csvRow,sampleID,row,col,matCurveIndex,labelText,manualLabel,className,sourceFile,sourceFolder,classFromFolder,classFromMat,rawPeakZ,reconPeakZ,rawPeakValue,reconPeakValue,RMSE_raw_vs_recon,Corr_raw_vs_recon
11,11,11,421,387,11,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0387_idx000011.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.8711333837594,47.8391565176321,0.199240061713923,0.104927884335771,0.0138965916456267,0.897617982882104
12,12,12,421,388,12,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0388_idx000012.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.8792405139479,47.8391650201511,0.207805973523279,0.106962786320812,0.0146641940203205,0.891144650455839
13,13,13,421,389,13,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0389_idx000013.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.9509512904702,47.9240053129496,0.135093604586774,0.0632601692890001,0.00989209856489442,0.860970141427773
14,14,14,421,390,14,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0390_idx000014.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.0190981697141,48.0714619204931,0.0443438409450862,0.0190150305991472,0.00347095074662641,0.814865467193792
15,15,15,421,391,15,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0391_idx000015.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.0767610705601,48.233937530702,0.019118576697995,0.0107333260666967,0.0011817812043045,0.919774315281002
16,16,16,421,392,16,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0392_idx000016.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.128293666588,48.2321465051691,0.0230287893142304,0.0136502893717696,0.00136613826105866,0.934891341561134
17,17,17,421,393,17,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0393_idx000017.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.2125080977926,48.2256167928753,0.0325144201182752,0.023363100979062,0.00175363682699399,0.96685267985279
18,18,18,421,394,18,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0394_idx000018.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.0548786256883,48.241977102376,0.0175907335647259,0.0113746624480142,0.000984300266954082,0.952072707016826
19,19,19,421,395,19,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0395_idx000019.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.6872456733488,48.4987719268161,0.0202334652274568,0.0143650440672301,0.00104106902364513,0.968551406849906
20,20,20,421,396,20,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0396_idx000020.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.886207381531,48.7550456353819,0.0143603108178946,0.00975311228293342,0.000738682476067506,0.964849590658081
21,21,21,421,397,21,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0397_idx000021.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,49.1500827710049,49.0694553696227,0.0157398004784438,0.0111664602776408,0.000964590950464529,0.953924043807984
22,22,22,421,398,22,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0398_idx000022.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,49.2055452770498,49.1901745959253,0.0290292737506458,0.0193493810389934,0.00171799250494929,0.952822632151243
23,23,23,421,399,23,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0399_idx000023.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,49.7182455394093,49.6027710488293,0.0185884347680198,0.0112928718551451,0.00113540243032427,0.937367306639633
24,24,24,421,400,24,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0400_idx000024.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,49.9796994310807,49.9753924228587,0.0212360243010983,0.0131380149636917,0.00123108692155162,0.946054686271711
25,25,25,421,401,25,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0401_idx000025.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,50.1752744043312,50.2717948321001,0.0184159721466177,0.0102449684104415,0.00119172030936992,0.914037542917649
26,26,26,422,377,26,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0377_idx000026.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.1866435345583,48.2616467344585,0.0978263744280023,0.0525709545680992,0.00684148087159431,0.900369851292533
27,27,27,422,378,27,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0378_idx000027.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.2224720659511,48.3072323776864,0.120007869838789,0.0645289710385467,0.008598641001822,0.89688475000239
28,28,28,422,379,28,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0379_idx000028.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.0897349010211,48.1357464560714,0.142641778516815,0.0769510371010947,0.0097148752716849,0.906570120599525
29,29,29,422,380,29,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0380_idx000029.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.0247933509521,48.0627257308408,0.101937971503409,0.0573547791320317,0.00665569721611504,0.919957398606502
30,30,30,422,381,30,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0381_idx000030.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.8342774257815,47.9302326039759,0.0381581105928912,0.0253896030683836,0.00245664948654274,0.943440778751361
31,31,31,422,382,31,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0382_idx000031.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.7140417722679,47.7430081330887,0.0514769399458621,0.0296881305235953,0.0036262833174338,0.910660815611547
32,32,32,422,383,32,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0383_idx000032.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.7166877123205,47.6572438648085,0.0791494942017499,0.0421410287590035,0.00596823630277063,0.885569780067923
33,33,33,422,384,33,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0384_idx000033.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.905971434135,47.8199128029528,0.0786249214416284,0.035727968428897,0.00598766427924866,0.844041107657091
34,34,34,422,385,34,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0385_idx000034.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.9912082365102,47.9513547108916,0.0850733703473983,0.0383164337002028,0.00636031845709476,0.843772993899946
35,35,35,422,386,35,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0386_idx000035.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.0027732465438,47.9808695719538,0.13872339253575,0.0653775675725601,0.00995883923278131,0.86493261159054
36,36,36,422,387,36,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0387_idx000036.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.9387003428237,47.9099995454184,0.223801325534725,0.110039067643947,0.0158532153238401,0.880130205102971
37,37,37,422,388,37,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0388_idx000037.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.9117137442002,47.8880069762169,0.195994490389424,0.0982581369728408,0.0138905257117082,0.884562774640924
38,38,38,422,389,38,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0389_idx000038.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.8688253691371,47.9444372710493,0.02878892035365,0.01625990501066,0.00187947947139202,0.914887189292785
39,39,39,422,390,39,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0390_idx000039.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.1497039717368,48.2570948638281,0.0368140746545606,0.0248383662345785,0.00203999981509353,0.959182149926579
40,40,40,422,391,40,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0391_idx000040.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.2459802021751,48.3116090495211,0.0591857006194289,0.0393358153714063,0.00341858516798358,0.954655612338391
41,41,41,422,392,41,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0392_idx000041.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.2287095542553,48.3080558137737,0.0566612171699417,0.0359630913800864,0.00330199757155868,0.949190978400137
42,42,42,422,393,42,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0393_idx000042.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.1220017128093,48.2388757738302,0.0438802255257975,0.0267913902191544,0.00251121662608104,0.945780064915101
43,43,43,422,394,43,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0394_idx000043.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.4298362059737,48.3558987380851,0.0219962076837747,0.0152265032543202,0.00130306527438099,0.95480752244457
44,44,44,422,395,44,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0395_idx000044.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.6262709745838,48.5905139443668,0.0279415898425692,0.0196552651437651,0.00152460271264385,0.964004378285364
45,45,45,422,396,45,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0396_idx000045.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.9303288136865,48.8661833312169,0.00798391294818068,0.00597875690732215,0.000379637927909587,0.975130603338171
46,46,46,422,397,46,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0397_idx000046.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,49.0951854498437,49.1427869634021,0.00680729436691152,0.00424247126446156,0.000362248207254043,0.949908220368871
47,47,47,422,398,47,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0398_idx000047.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,49.087995717182,49.1246964579758,0.03246012822568,0.0196379245961999,0.00183476899303492,0.945475954609028
48,48,48,422,399,48,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0399_idx000048.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,49.5380626933199,49.4941283965417,0.022727566570763,0.0146692144509659,0.00138917842769446,0.945730970045218
49,49,49,422,400,49,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0400_idx000049.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,49.7900242619974,49.7985013587194,0.016419035540619,0.0112261239675126,0.000884294753189742,0.962162400503621
50,50,50,422,401,50,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0422_c0401_idx000050.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,50.1583378248956,50.1963856343997,0.0173907466848432,0.0108458901306879,0.00103572843697737,0.94218087489664
51,51,51,423,377,51,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0423_c0377_idx000051.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.2716820211862,48.3091312873525,0.103751360580057,0.0588409012192482,0.00729410193236781,0.90952550542089
52,52,52,423,378,52,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0423_c0378_idx000052.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.3192731613276,48.3245395149606,0.104726285308077,0.0614079875618744,0.00740693569356891,0.914315883367649
53,53,53,423,379,53,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0423_c0379_idx000053.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.083433451404,48.1406977650483,0.147724885543466,0.0768194043937695,0.0102102662828496,0.896515133299483
54,54,54,423,380,54,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0423_c0380_idx000054.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.0040509410526,48.033632171495,0.162409961677032,0.084990494535912,0.0109833361290737,0.901891825286771
55,55,55,423,381,55,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0423_c0381_idx000055.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.8255055148406,47.8417090041654,0.077989022390236,0.045369541095726,0.00529195745652419,0.919519669455775
56,56,56,423,382,56,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0423_c0382_idx000056.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.8283085632377,47.8548083977905,0.0739664162321038,0.0429221800294962,0.00486929161623918,0.922195476653785
57,57,57,423,383,57,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0423_c0383_idx000057.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.8403650965155,47.7712901035571,0.0678270136414008,0.0348000264586335,0.00481404208832078,0.887288111340511
58,58,58,423,384,58,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0423_c0384_idx000058.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.9441471899223,47.9168540778105,0.0337943923135439,0.0158951094454196,0.00246716482207238,0.85932232677381
